202.80.217.202  -  202.80.217.202 (PT Dunia Informasi Teknologi) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36] 
202.80.217.202  -  202.80.217.202 (PT Dunia Informasi Teknologi) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36] 
202.80.217.202  -  202.80.217.202 (PT Dunia Informasi Teknologi) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36] 
202.80.217.202  -  202.80.217.202 (PT Dunia Informasi Teknologi) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36] 
202.80.217.202  -  202.80.217.202 (PT Dunia Informasi Teknologi) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36] 
202.80.217.202  -  202.80.217.202 (PT Dunia Informasi Teknologi) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36] 
202.80.217.202  -  202.80.217.202 (PT Dunia Informasi Teknologi) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36] 
114.5.243.152  -  114-5-243-152.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36] 
114.5.243.152  -  114-5-243-152.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36] 
114.5.243.152  -  114-5-243-152.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814 Build/O11019; wv) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36 VivoBrowser/6.0.0.2] 
114.4.221.249  -  114-4-221-249.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36] 
114.4.221.249  -  114-4-221-249.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36] 
114.4.221.249  -  114-4-221-249.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36] 
114.4.221.249  -  114-4-221-249.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36] 
120.188.73.253  -  120.188.73.253 (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Android | Handheld Browser | Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36] 
114.5.103.74  -  114-5-103-74.resources.indosat.com (PT Indosat Tbk (www.indosat.com)) >> [Indonesia | Windows 7 | Chrome | Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36] 
36.78.115.53  -  36.78.115.53 (PT Telkom Indonesia) >> [Indonesia | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36] 
